"Date","Price","Open","High","Low","Vol.","Change %"
"11/23/2017","83,334","83,832","83,836","83,282","","-0.55%"
"11/22/2017","83,797","83,095","84,021","82,864","","0.96%"
"11/21/2017","83,004","83,129","83,427","82,846","","-0.11%"
"11/20/2017","83,096","84,048","84,244","83,002","","-1.25%"
"11/17/2017","84,144","83,483","84,349","82,864","","0.83%"
"11/16/2017","83,452","83,441","83,736","83,251","","0.07%"
"11/15/2017","83,394","83,729","84,132","83,338","","-0.38%"
"11/14/2017","83,712","83,649","83,991","83,171","","0.10%"
"11/13/2017","83,626","83,089","83,808","83,041","","0.54%"
"11/10/2017","83,174","83,522","83,810","83,014","","-0.34%"
"11/09/2017","83,461","83,192","83,723","83,091","","0.36%"
"11/08/2017","83,160","82,971","83,610","82,971","","0.27%"
"11/07/2017","82,935","82,833","83,231","82,619","","0.14%"
"11/06/2017","82,821","81,982","82,934","81,750","","1.06%"
"11/03/2017","81,950","82,453","82,601","81,713","","-0.51%"
"11/02/2017","82,366","82,281","82,945","82,280","","0.14%"
"11/01/2017","82,253","82,293","82,748","81,958","","-0.05%"
"10/31/2017","82,297","82,777","82,872","82,062","","-0.53%"
"10/30/2017","82,740","82,835","82,948","82,356","","-0.03%"
"10/27/2017","82,763","82,200","82,884","82,049","","0.78%"
"10/26/2017","82,122","82,949","83,197","82,069","","-0.94%"
"10/25/2017","82,903","83,109","83,165","82,537","","-0.19%"
"10/24/2017","83,064","83,341","83,482","82,907","","-0.32%"
"10/23/2017","83,332","83,070","83,464","82,726","","0.09%"
"10/20/2017","83,260","83,820","83,927","83,109","","-0.64%"
"10/19/2017","83,798","83,352","83,889","83,046","","0.60%"
"10/18/2017","83,301","83,584","83,824","83,068","","-0.30%"
"10/17/2017","83,548","83,807","83,965","83,339","","-0.20%"
"10/16/2017","83,715","84,339","84,587","83,504","","-0.78%"
"10/13/2017","84,373","84,171","84,577","83,802","","0.31%"
"10/12/2017","84,110","84,174","84,459","83,891","","-0.03%"
"10/11/2017","84,135","84,045","84,314","83,690","","0.16%"
"10/10/2017","84,000","83,922","84,475","83,791","","0.13%"
"10/09/2017","83,890","83,450","84,042","83,401","","0.60%"
"10/06/2017","83,392","82,652","83,497","82,437","","0.99%"
"10/05/2017","82,575","82,923","83,343","82,521","","-0.35%"
"10/04/2017","82,862","83,281","83,595","82,632","","-0.40%"
"10/03/2017","83,192","83,005","83,507","82,823","","0.25%"
"10/02/2017","82,984","83,545","83,553","82,963","","-0.65%"
"09/29/2017","83,529","84,257","84,347","83,469","","-0.85%"
"09/28/2017","84,241","84,189","84,568","83,923","","0.10%"
"09/27/2017","84,156","84,679","85,115","84,189","","-0.60%"
"09/26/2017","84,667","85,324","85,807","84,633","","-0.77%"
"09/25/2017","85,320","84,095","85,439","83,672","","1.53%"
"09/22/2017","84,031","83,702","84,500","83,680","","0.45%"
"09/21/2017","83,657","83,655","84,128","83,314","","0.05%"
"09/20/2017","83,615","84,322","84,617","83,326","","-0.82%"
"09/19/2017","84,302","83,893","84,365","83,797","","0.57%"
"09/18/2017","83,824","84,607","84,623","83,693","","-0.88%"
"09/15/2017","84,569","85,272","85,573","84,596","","-0.79%"
"09/14/2017","85,242","84,701","85,324","84,379","","0.76%"
"09/13/2017","84,597","85,285","85,451","84,542","","-0.73%"
"09/12/2017","85,219","84,908","85,322","84,666","","0.46%"
"09/11/2017","84,830","85,292","85,567","84,793","","-1.21%"
"09/08/2017","85,868","86,352","86,750","85,654","","-0.54%"
"09/07/2017","86,337","85,480","86,426","85,360","","1.06%"
"09/06/2017","85,434","85,864","86,106","85,301","","-0.41%"
"09/05/2017","85,789","85,452","86,191","85,124","","0.41%"
"09/04/2017","85,442","85,435","85,934","85,206","","0.76%"
"09/01/2017","84,799","84,524","85,100","84,283","","0.37%"
"08/31/2017","84,490","83,760","84,653","83,233","","0.93%"
"08/30/2017","83,715","83,827","84,103","83,524","","-0.11%"
"08/29/2017","83,808","84,238","84,896","83,539","","0.16%"
"08/28/2017","83,677","82,720","83,867","82,645","","1.27%"
"08/25/2017","82,626","82,388","82,840","81,894","","0.31%"
"08/24/2017","82,368","82,652","82,708","82,255","","-0.27%"
"08/23/2017","82,591","82,338","82,764","82,176","","0.37%"
"08/22/2017","82,284","82,780","82,872","82,190","","-0.59%"
"08/21/2017","82,772","82,221","82,931","82,072","","0.58%"
"08/18/2017","82,298","82,678","83,412","82,267","","-0.39%"
"08/17/2017","82,620","82,401","82,806","82,265","","0.38%"
"08/16/2017","82,305","81,545","82,412","81,385","","0.97%"
"08/15/2017","81,515","82,145","82,174","81,269","","-0.77%"
"08/14/2017","82,148","82,705","82,742","81,972","","-0.62%"
"08/11/2017","82,658","82,484","82,901","82,172","","0.26%"
"08/10/2017","82,442","81,567","82,534","81,382","","1.09%"
"08/09/2017","81,552","80,341","81,678","80,302","","1.61%"
"08/08/2017","80,261","80,283","80,588","79,702","","0.02%"
"08/07/2017","80,242","80,138","80,472","79,980","","0.25%"
"08/04/2017","80,040","80,820","80,931","79,828","","-0.90%"
"08/03/2017","80,768","80,606","80,982","80,110","","0.25%"
"08/02/2017","80,566","81,340","81,468","80,416","","-0.90%"
"08/01/2017","81,301","81,505","81,691","81,005","","-0.17%"
"07/31/2017","81,442","81,429","81,554","81,168","","0.12%"
"07/28/2017","81,347","80,733","81,504","80,685","","0.82%"
"07/27/2017","80,686","81,158","81,372","80,438","","-0.49%"
"07/26/2017","81,080","80,500","81,327","80,117","","0.87%"
"07/25/2017","80,382","80,806","80,975","80,416","","-0.52%"
"07/24/2017","80,800","80,828","81,086","80,660","","0.03%"
"07/21/2017","80,778","80,124","80,885","80,031","","0.86%"
"07/20/2017","80,092","79,751","80,332","79,553","","0.47%"
"07/19/2017","79,715","79,910","80,017","79,517","","-0.13%"
